phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,3.1537086391448974,0.3459375,2.0465780782699583,0.5675,0.001
head,2,1.8525506003697714,0.5745833333333333,1.5695859471956888,0.6179166666666667,0.001
head,3,1.5008674955368042,0.634375,1.4223467155297598,0.63625,0.001
head,4,1.3332331603765488,0.6614583333333334,1.2268743852774302,0.6670833333333334,0.001
head,5,1.1958825037876766,0.6878125,1.182983977595965,0.6775,0.001
finetune,1,1.0739428383111953,0.7223958333333333,1.14569453616937,0.68375,0.0001
finetune,2,1.0062453204393387,0.7355208333333333,1.1059756775697072,0.6895833333333333,0.0001
finetune,3,0.9475751602649689,0.7440625,1.0640224353472392,0.69875,0.0001
finetune,4,0.9196910401185353,0.75125,1.0407790503899257,0.69625,0.0001
finetune,5,0.8750597542524338,0.763125,1.0366796801487606,0.69625,0.0001
finetune,6,0.8422413683931033,0.7692708333333333,1.0418037283420563,0.69625,0.0001
finetune,7,0.8208317038416862,0.7717708333333333,1.0150539525349935,0.7020833333333333,0.0001
finetune,8,0.809750566482544,0.7789583333333333,1.0008395183086396,0.7004166666666667,0.0001
finetune,9,0.7950606112678845,0.7773958333333333,0.9951734660069148,0.70125,0.0001
finetune,10,0.7596489031116168,0.7916666666666666,1.0229658061265945,0.6941666666666667,0.0001
