split,rel_path,label_id_original,breed,width,height,aspect_ratio
train,n02085620-Chihuahua/n02085620_5927.jpg,1,Chihuahua,360,300,1.2
train,n02085620-Chihuahua/n02085620_4441.jpg,1,Chihuahua,375,500,0.75
train,n02085620-Chihuahua/n02085620_1502.jpg,1,Chihuahua,500,333,1.5015015015015014
train,n02085620-Chihuahua/n02085620_1916.jpg,1,Chihuahua,500,495,1.0101010101010102
train,n02085620-Chihuahua/n02085620_13151.jpg,1,Chihuahua,500,336,1.4880952380952381
train,n02085620-Chihuahua/n02085620_1569.jpg,1,Chihuahua,278,274,1.0145985401459854
train,n02085620-Chihuahua/n02085620_9654.jpg,1,Chihuahua,461,500,0.922
train,n02085620-Chihuahua/n02085620_3975.jpg,1,Chihuahua,336,500,0.672
train,n02085620-Chihuahua/n02085620_3942.jpg,1,Chihuahua,478,500,0.956
train,n02085620-Chihuahua/n02085620_9351.jpg,1,Chihuahua,500,375,1.3333333333333333
train,n02085620-Chihuahua/n02085620_574.jpg,1,Chihuahua,500,375,1.3333333333333333
train,n02085620-Chihuahua/n02085620_4998.jpg,1,Chihuahua,500,375,1.3333333333333333
train,n02085620-Chihuahua/n02085620_7.jpg,1,Chihuahua,250,188,1.3297872340425532
train,n02085620-Chihuahua/n02085620_1617.jpg,1,Chihuahua,357,238,1.5
train,n02085620-Chihuahua/n02085620_11140.jpg,1,Chihuahua,500,375,1.3333333333333333
train,n02085620-Chihuahua/n02085620_5771.jpg,1,Chihuahua,281,500,0.562
train,n02085620-Chihuahua/n02085620_275.jpg,1,Chihuahua,500,333,1.5015015015015014
train,n02085620-Chihuahua/n02085620_9399.jpg,1,Chihuahua,500,375,1.3333333333333333
train,n02085620-Chihuahua/n02085620_10621.jpg,1,Chihuahua,500,298,1.6778523489932886
train,n02085620-Chihuahua/n02085620_4266.jpg,1,Chihuahua,500,375,1.3333333333333333
train,n02085620-Chihuahua/n02085620_7738.jpg,1,Chihuahua,500,375,1.3333333333333333
